State_city,Mapping
"PA,UNIONTOWN",499.0
"PA,WASHINGTON",500.0
"PA,WELLSBORO",501.0
"PA,WESTCHESTER",502.0
"PA,WILKES-BARRE",503.0
"PA,WILLIAMSPORT",504.0
"PA,YORK",505.0
"PR,SAN JUAN",506.0
"RI,NEWPORT",507.0
"RI,PROVIDENCE",508.0
"SC,AIKEN",509.0
"SC,BEAUFORT",510.0
"SC,CHARLESTON",511.0
"SC,COLUMBIA",512.0
"SC,FLORENCE",513.0
"SC,GREENVILLE",514.0
"SC,ROCK HILL",515.0
"SC,SPARTANBURG",516.0
"SD,ABERDEEN",517.0
"SD,MITCHELL",518.0
"SD,MOBRIDGE",519.0
"SD,PIERRE",520.0
"SD,RAPID CITY",521.0
"SD,SIOUX FALLS",522.0
"SD,WATERTOWN",523.0
"TN,CHATTANOOGA",524.0
"TN,COLUMBIA",525.0
"TN,COOKEVILLE",526.0
"TN,JACKSON",527.0
"TN,JOHNSON CITY",528.0
"TN,KNOXVILLE",529.0
"TN,MCKENZIE",530.0
"TN,MEMPHIS",531.0
"TN,NASHVILLE",532.0
"TX,ABILENE",533.0
"TX,AMARILLO",534.0
"TX,AUSTIN",535.0
"TX,BEAUMONT",536.0
"TX,BROWNWOOD",537.0
"TX,BRYAN",538.0
"TX,CHILDRESS",539.0
"TX,CORPUS CHRISTI",540.0
"TX,DALLAS",541.0
"TX,DEL RIO",542.0
"TX,DENTON",543.0
"TX,EASTLAND",544.0
"TX,EL PASO",545.0
"TX,FORT WORTH",546.0
"TX,GALVESTON",547.0
"TX,GIDDINGS",548.0
"TX,GREENVILLE",549.0
"TX,HOUSTON",550.0
"TX,HUNTSVILLE",551.0
"TX,LAREDO",552.0
"TX,LONGVIEW",553.0
"TX,LUBBOCK",554.0
"TX,LUFKIN",555.0
"TX,MCALLEN",556.0
"TX,MCKINNEY",557.0
"TX,MIDLAND",558.0
"TX,PALESTINE",559.0
"TX,SAN ANGELO",560.0
"TX,SAN ANTONIO",561.0
"TX,TEMPLE",562.0
"TX,TEXARKANA",563.0
"TX,TYLER",564.0
"TX,VICTORIA",565.0
"TX,WACO",566.0
"TX,WAXAHACHIE",567.0
"TX,WHARTON",568.0
"TX,WICHITA FALLS",569.0
"UT,LOGAN",570.0
"UT,OGDEN",571.0
"UT,PRICE",572.0
"UT,PROVO",573.0
"UT,SALT LAKE CITY",574.0
"VT,BELLOWS FALLS",575.0
"VT,BENNINGTON",576.0
"VT,BRATTLEBORO",577.0
"VT,BURLINGTON",578.0
"VT,GUILDHALL",579.0
"VT,MONTPELIER",580.0
"VT,RUTLAND",581.0
"VT,ST. JOHNSBURY",582.0
"VT,WHITE RIVER JCT.",583.0
"VA,ALEXANDRIA",584.0
"VA,ARLINGTON",585.0
"VA,BRISTOL",586.0
"VA,CHARLOTTESVILLE",587.0
"VA,CULPEPER",588.0
"VA,FAIRFAX",589.0
"VA,FARMVILLE",590.0
"VA,FREDERICKSBURG",591.0
"VA,GRUNDY",592.0
"VA,HARRISONBURG",593.0
"VA,LYNCHBURG",594.0
"VA,NEWPORT NEWS",595.0
"VA,NORFOLK",596.0
