state_city,mean_value
244,157.51488317373102
245,161.88799476171386
246,152.8970290964778
247,157.89104197201425
248,158.04634240119884
249,179.4209561351044
250,173.1370505557053
251,168.0414711565636
252,169.61960420377392
253,171.6429518432589
254,168.7287029162203
255,170.3709561351044
256,176.34833810935334
257,175.49159991192843
258,171.76904626385976
259,168.5090248046323
260,170.22466858145634
261,172.45900334540482
262,164.850205062143
263,160.61518360291558
264,160.16344540549068
265,167.96683596343058
266,161.87033381750786
267,157.83376729390272
268,163.60413210076962
269,159.29157845270095
270,162.98037673596278
271,161.78473295913875
272,164.54149261579113
273,160.11393896772245
274,160.75144969733617
275,160.37850978317306
276,159.48546257287262
277,164.81578446128466
278,165.80138531965378
279,161.94462566300137
280,169.207544117937
281,166.6640248046323
282,174.76580592051212
283,168.6641750192246
284,173.8697544183662
285,171.08990463295845
286,162.9888960492675
287,165.3225011994821
288,159.74893896772244
289,153.48790892480395
290,148.05372437544776
291,150.13207201493273
292,153.9336170793104
293,148.65666428961083
294,156.4375655771645
295,149.79683596343057
296,148.1037029162203
297,153.16820935398852
298,149.4841535599971
299,159.33758703639194
300,158.45651407501856
301,158.19552695055506
302,159.85951836686405
303,159.2430162209413
304,157.30752265870956
305,161.68333810935334
306,162.42396042694992
307,156.97846686471814
308,167.75404626385978
309,157.2783595685808
310,157.2557630020572
311,160.50608489046923
312,158.7798402552761
313,157.72567716514732
314,160.86104197201428
315,161.65037673596277
316,168.02842394626322
317,160.31730806643486
318,157.74293038403147
319,158.83608489046918
320,155.14286600634904
321,156.91344540549068
322,154.56460420377394
323,155.34511922523316
324,154.89164283038338
325,156.24198617802287
326,154.22855270162802
327,154.9775655771645
328,159.13966858145633
329,154.77340248703575
330,159.5297114999113
331,152.67091321664947
332,154.68245828102715
333,154.6678230878941
334,160.7517715857482
335,153.08840248703572
336,168.56421793767953
337,160.48668574883828
338,163.93818789476106
339,175.0106127874649
340,168.8839604269499
341,158.53672866729323
342,158.1743037745894
343,165.83325227244347
344,158.7809775943319
345,156.2283595685808
346,166.20164283038338
347,164.86198617802285
348,162.52681450420312
349,178.19091321664948
350,179.01737244411726
351,178.65089175742202
352,178.9614067788812
353,178.49353124240054
354,179.49411064154216
355,177.40320935398853
356,180.07466858145634
357,180.73717931107007
358,179.53106343124173
359,178.70861707931041
360,178.75432523381687
361,179.58164283038337
362,177.8800977660057
363,160.47411064154218
364,159.1206986243748
365,158.13675012652072
366,161.20084883896706
367,159.97670720806576
368,156.3915569934735
369,159.14820935398853
370,159.01713639261513
371,160.39874583467522
372,159.04447544840912
373,157.85243682179967
374,158.39567716514733
375,171.31999046986834
376,165.26726514797994
377,189.04775871021172
378,194.19127802351642
379,171.05127802351643
380,165.65398188617735
381,193.25934669304434
382,193.25934669304434
383,166.82445398918168
384,187.30237244411728
385,192.58572008360227
386,164.68782308789412
387,181.846213645834
388,193.7770934741602
389,182.2263638604263
390,181.72518360291556
391,183.1114282381087
392,191.78458274454647
393,169.49659991192846
394,167.25773725098423
395,182.9608273797396
396,192.98159991192844
397,187.30237244411728
398,168.03430377458938
399,170.78159991192842
400,189.78928231536196
401,178.36730806643487
402,167.0729733024864
403,166.73460420377393
404,165.71080592051214
405,181.72220077029755
406,183.1039818861774
407,152.64565570591986
408,157.27097759433187
409,155.0466213711559
410,153.39505484755074
411,156.2265569934735
412,154.88720077029754
413,154.37346686471813
414,153.3538960492675
415,151.2621149333877
416,151.14874583467522
417,154.17786600634903
418,152.45715785184262
419,152.47878875313017
420,154.25305913939627
421,161.39758703639194
422,156.2634883239456
423,155.90988317373103
424,158.37082737973958
425,157.79741536257222
426,155.85805913939623
427,157.02537673596277
428,156.3435097831731
429,161.58707201493274
430,161.50694325956792
431,159.67301622094132
432,160.65477587759366
433,160.36780162866665
434,163.80773725098425
435,162.74799476171384
436,159.14552695055505
437,159.70846686471816
438,160.75870291622027
439,160.67634240119884
440,158.48773725098425
441,159.67578446128468
442,159.42685742265803
443,162.10760849561942
444,163.7560205127868
445,160.53572008360226
446,160.07363853853786
447,154.19350978317306
448,154.89992609218592
449,152.99046257287264
450,155.42340248703573
451,152.1788316715851
452,155.7861063496967
453,152.80205055570525
454,153.3979518432589
