state_city,mean_value
150,174.83739549500783
151,169.40935627932157
152,167.9630817695176
153,174.3633758871647
154,162.66945431853725
155,161.15092490677253
156,158.47229745579213
157,169.46974843618426
158,174.46808176951765
159,161.89876804402743
160,152.07788569108624
161,154.2461209852039
162,151.66170922049804
163,153.27729745579214
164,152.15357196559606
165,161.34572882834118
166,155.33523863226273
167,149.92308176951764
168,152.1219052989294
169,149.10886608324313
170,152.33661118128234
171,148.74984647539998
172,154.47327784794902
173,152.48396412245881
174,151.05719941657645
175,149.61582686755685
176,149.12661118128233
177,154.05661118128234
178,154.07219941657644
179,150.79239549500784
180,156.3919052989294
181,146.6253366714784
182,157.58347392638038
183,151.35239549500784
184,147.4425915734392
185,147.83984647539998
186,147.97719941657647
187,149.3261209852039
188,143.56514059304703
189,151.74014059304704
190,144.02837588716469
191,153.03484647539997
192,142.8853366714784
193,146.0589641224588
194,142.96416020089018
195,145.45063078912546
196,143.34082686755684
197,145.26690529892937
198,145.48945431853724
199,147.473277847949
200,148.65592490677253
201,142.7655327499098
202,146.34376804402743
203,145.33229745579212
204,151.6662190244196
205,151.62651314206664
206,148.30435627932155
207,147.45082686755683
208,150.94514059304703
209,146.63729745579212
210,150.68298373030194
211,148.27131706363528
212,149.07357196559605
213,152.49445431853724
214,152.50014059304704
215,152.58200333814509
216,149.35102294598823
217,151.06798373030193
218,147.88945431853722
219,148.381709220498
220,149.28710137736078
221,143.4696503969686
222,146.70847392638038
223,147.73651314206666
224,148.86317980873332
225,149.66867000481176
226,149.3944543185372
227,144.89170922049803
228,156.04955235775293
229,153.6875915734392
230,152.54308176951764
231,152.25210137736076
232,152.2791602008902
233,155.36670922049802
234,152.2033758871647
235,157.2002386322627
236,151.8160229459882
237,152.3974935342235
238,155.98425824010587
239,156.25857196559605
240,152.47788569108627
241,153.2511209852039
242,148.48916020089018
243,150.96935627932152
244,154.98023863226274
245,146.2453366714784
246,151.9569052989294
247,152.35817980873333
248,172.68739549500782
249,165.7554347106941
250,160.8904347106941
251,162.9223954950078
252,165.0333758871647
253,161.7199445146157
254,162.91004255383137
255,169.62847392638037
256,168.58072882834117
257,164.62719941657647
258,161.47523863226274
259,163.38092490677252
260,165.4312190244196
261,157.386709220498
262,153.89778765187057
263,152.54014059304706
