,Unnamed: 0,zpid,price,bedrooms,bathrooms,squarefeetarea,latitude,street_address,zipcode,link,longitude,half_bathroom,lot_area,home_type
15,15,22220326,575000,5,4.0,4044,36.02424,"""3637 E 96th Pl""","""74137""",https://www.zillow.com/homedetails/3637-E-96th-Pl-Tulsa-OK-74137/22220326_zpid/,-95.934074,1.0,10659.0, SingleFamily
16,16,89336850,940000,5,6.0,5248,36.007473,"""5907 E 108th St""","""74137""",https://www.zillow.com/homedetails/5907-E-108th-St-Tulsa-OK-74137/89336850_zpid/,-95.9099,1.0,17641.8, SingleFamily
17,17,22218989,937500,5,5.0,6387,36.0295,"""4937 E 92nd St""","""74137""",https://www.zillow.com/homedetails/4937-E-92nd-St-Tulsa-OK-74137/22218989_zpid/,-95.92021,2.0,38899.08, SingleFamily
18,18,2057321911,839400,5,5.0,3326,36.108177,"""1411 E 38th St""","""74105""",https://www.zillow.com/homedetails/1411-E-38th-St-Tulsa-OK-74105/2057321911_zpid/,-95.972885,1.0,10236.6, SingleFamily
19,19,2071640978,297000,5,4.0,2974,36.04238,"""5319 W 85th St S""","""74131""",https://www.zillow.com/homedetails/5319-W-85th-St-S-Tulsa-OK-74131/2071640978_zpid/,-96.0528,1.0,43560.0, SingleFamily
20,20,79760687,440500,5,4.0,3532,36.092808,"""4910 S 165th Ave E""","""74134""",https://www.zillow.com/homedetails/4910-S-165th-Ave-E-Tulsa-OK-74134/79760687_zpid/,-95.79241,0.0,10280.16, SingleFamily
21,21,89359560,490000,5,4.0,3682,36.09701,"""16411 E 47th St""","""74134""",https://www.zillow.com/homedetails/16411-E-47th-St-Tulsa-OK-74134/89359560_zpid/,-95.79464,0.0,12196.8, SingleFamily
22,22,22152842,250000,5,3.0,3410,36.096493,"""4607 S Norwood Ave""","""74135""",https://www.zillow.com/homedetails/4607-S-Norwood-Ave-Tulsa-OK-74135/22152842_zpid/,-95.90594,0.0,11543.4, SingleFamily
23,23,295334855,566165,5,4.0,3395,36.102978,"""4211 S 167th Ave E""","""74134""",https://www.zillow.com/homedetails/4211-S-167th-Ave-E-Tulsa-OK-74134/295334855_zpid/,-95.79066,1.0,8668.44, SingleFamily
24,24,22152962,285000,5,4.0,3865,36.091507,"""4931 S Lakewood Ave""","""74135""",https://www.zillow.com/homedetails/4931-S-Lakewood-Ave-Tulsa-OK-74135/22152962_zpid/,-95.907936,2.0,13372.92, SingleFamily
