,zpid,price,bedrooms,squarefeetarea,latitude,street_address,zipcode,link,longitude,full_bathroom,half_bathroom,quarter_bathroom,three_quarter_bathroom,year_built,lot_area,stories,home_type,full_address
1271,2059864133,120000,3,1305,36.122334,2710 S 101st Ave E,74129,https://www.zillow.com/homedetails/2710-S-101st-Ave-E-Tulsa-OK-74129/2059864133_zpid/,-95.86434,2.0,0.0,0.0,0.0,1971.0,7666.56,1.0,SingleFamily,"2710 S 101st Ave E,Tulsa,OK"
1272,2141751908,160000,3,1037,36.13986,1535 S 115th East Ave,74128,https://www.zillow.com/homedetails/1535-S-115th-East-Ave-Tulsa-OK-74128/2141751908_zpid/,-95.8493,1.0,0.0,0.0,0.0,1966.0,7187.4,1.0,SingleFamily,"1535 S 115th East Ave,Tulsa,OK"
1273,22104203,167000,3,1040,36.11988,7716 E 30th Pl,74129,https://www.zillow.com/homedetails/7716-E-30th-Pl-Tulsa-OK-74129/22104203_zpid/,-95.8905,1.0,0.0,0.0,0.0,1955.0,7492.32,1.0,SingleFamily,"7716 E 30th Pl,Tulsa,OK"
1274,22122097,122500,3,858,36.19506,2138 E 29th St N,74110,https://www.zillow.com/homedetails/2138-E-29th-St-N-Tulsa-OK-74110/22122097_zpid/,-95.96106,1.0,0.0,0.0,0.0,1954.0,12545.28,1.0,SingleFamily,"2138 E 29th St N,Tulsa,OK"
1275,22156603,190000,3,1916,36.05779,7143 S 75th East Ave,74133,https://www.zillow.com/homedetails/7143-S-75th-East-Ave-Tulsa-OK-74133/22156603_zpid/,-95.89338,2.0,0.0,0.0,0.0,1972.0,10585.08,1.0,SingleFamily,"7143 S 75th East Ave,Tulsa,OK"
1276,345312348,69900,3,1214,36.158653,2548 W Easton St N,74127,https://www.zillow.com/homedetails/2548-W-Easton-St-N-Tulsa-OK-74127/345312348_zpid/,-96.01668,1.0,0.0,0.0,0.0,1960.0,12545.28,1.0,SingleFamily,"2548 W Easton St N,Tulsa,OK"
1277,347251961,199500,3,972,36.166405,803 N Delaware Ave E,74110,https://www.zillow.com/homedetails/803-N-Delaware-Ave-E-Tulsa-OK-74110/347251961_zpid/,-95.94842,2.0,0.0,0.0,0.0,1930.0,9191.16,1.0,SingleFamily,"803 N Delaware Ave E,Tulsa,OK"
1278,351139087,167000,3,1040,36.13983,7716 E 30th Pl S,74129,https://www.zillow.com/homedetails/7716-E-30th-Pl-S-Tulsa-OK-74129/351139087_zpid/,-95.8904,1.0,0.0,0.0,0.0,1955.0,10454.4,1.0,SingleFamily,"7716 E 30th Pl S,Tulsa,OK"
1279,22117394,198000,3,1298,36.165688,1512 S 138th East Ave,74108,https://www.zillow.com/homedetails/1512-S-138th-East-Ave-Tulsa-OK-74108/22117394_zpid/,-95.823006,2.0,0.0,0.0,0.0,1990.0,20168.28,1.0,SingleFamily,"1512 S 138th East Ave,Tulsa,OK"
1280,22120254,100000,3,1020,36.13983,717 N Joplin Ave,74115,https://www.zillow.com/homedetails/717-N-Joplin-Ave-Tulsa-OK-74115/22120254_zpid/,-95.91066,1.0,0.0,0.0,0.0,1940.0,34543.08,1.0,SingleFamily,"717 N Joplin Ave,Tulsa,OK"
1281,22146401,150000,3,1386,36.154114,1527 S 74th East Ave,74112,https://www.zillow.com/homedetails/1527-S-74th-East-Ave-Tulsa-OK-74112/22146401_zpid/,-95.8947,1.0,0.0,0.0,1.0,1961.0,6185.52,1.0,SingleFamily,"1527 S 74th East Ave,Tulsa,OK"
1282,22162753,179000,3,1224,36.123856,509 S 101st Ave E,74128,https://www.zillow.com/homedetails/509-S-101st-Ave-E-Tulsa-OK-74128/22162753_zpid/,-95.86468,2.0,0.0,0.0,0.0,1962.0,17511.12,1.0,SingleFamily,"509 S 101st Ave E,Tulsa,OK"
1283,22165455,97500,3,1318,36.15928,2734 S 116th East Pl,74129,https://www.zillow.com/homedetails/2734-S-116th-East-Pl-Tulsa-OK-74129/22165455_zpid/,-95.84645,0.0,0.0,0.0,0.0,1970.0,27007.2,1.0,SingleFamily,"2734 S 116th East Pl,Tulsa,OK"
1284,22176953,103000,3,1228,36.16906,103 S 80th East Ave,74112,https://www.zillow.com/homedetails/103-S-80th-East-Ave-Tulsa-OK-74112/22176953_zpid/,-95.89199,1.0,0.0,0.0,0.0,1954.0,8842.68,1.0,SingleFamily,"103 S 80th East Ave,Tulsa,OK"
1285,348427123,129000,3,1693,36.1517,6239 E King Pl N,74115,https://www.zillow.com/homedetails/6239-E-King-Pl-N-Tulsa-OK-74115/348427123_zpid/,-95.90665,2.0,0.0,0.0,0.0,1951.0,7753.68,1.0,SingleFamily,"6239 E King Pl N,Tulsa,OK"
1286,22111017,190000,3,1072,36.187077,3522 E 6th St,74112,https://www.zillow.com/homedetails/3522-E-6th-St-Tulsa-OK-74112/22111017_zpid/,-95.93711,1.0,0.0,0.0,0.0,1946.0,15289.56,1.0,SingleFamily,"3522 E 6th St,Tulsa,OK"
1287,22149742,160000,3,1126,36.16909,2244 N Toledo Pl,74115,https://www.zillow.com/homedetails/2244-N-Toledo-Pl-Tulsa-OK-74115/22149742_zpid/,-95.92624,1.0,0.0,0.0,0.0,1950.0,58413.96,1.0,SingleFamily,"2244 N Toledo Pl,Tulsa,OK"
1288,22156283,80000,3,1181,36.127598,1029 N Delaware Pl,74110,https://www.zillow.com/homedetails/1029-N-Delaware-Pl-Tulsa-OK-74110/22156283_zpid/,-95.94734,1.0,1.0,0.0,0.0,1930.0,9016.92,1.0,SingleFamily,"1029 N Delaware Pl,Tulsa,OK"
1289,22158683,115000,3,1024,36.126343,2445 S Pittsburg Ave,74114,https://www.zillow.com/homedetails/2445-S-Pittsburg-Ave-Tulsa-OK-74114/22158683_zpid/,-95.93107,1.0,0.0,0.0,0.0,,3789.72,1.0,SingleFamily,"2445 S Pittsburg Ave,Tulsa,OK"
1290,22158795,145100,3,1021,36.094734,2529 S Sandusky Ave,74114,https://www.zillow.com/homedetails/2529-S-Sandusky-Ave-Tulsa-OK-74114/22158795_zpid/,-95.927246,1.0,0.0,0.0,0.0,1952.0,10497.96,1.0,SingleFamily,"2529 S Sandusky Ave,Tulsa,OK"
1291,22107587,125000,3,1154,36.126884,4717 S 33rd West Ave,74107,https://www.zillow.com/homedetails/4717-S-33rd-West-Ave-Tulsa-OK-74107/22107587_zpid/,-96.029274,1.0,0.0,0.0,0.0,1930.0,10280.16,1.0,SingleFamily,"4717 S 33rd West Ave,Tulsa,OK"
1292,22130987,190000,3,1615,36.094826,5955 E 25th Pl,74114,https://www.zillow.com/homedetails/5955-E-25th-Pl-Tulsa-OK-74114/22130987_zpid/,-95.90674,2.0,0.0,0.0,0.0,1958.0,18687.24,1.0,SingleFamily,"5955 E 25th Pl,Tulsa,OK"
